PLOSPaperID,round,decision_date,response_date,duration_days,stage_type
pone.0227084,1,2020-04-22,2020-05-20,28,author_revision
pone.0227096,0,2019-10-24,2019-12-10,47,author_revision
pone.0227097,0,2019-10-31,2019-11-24,24,author_revision
pone.0227097,1,2019-12-06,2019-12-11,5,author_revision
pone.0227100,0,2019-11-05,2019-11-27,22,author_revision
pone.0227101,0,2019-11-06,2019-11-20,14,author_revision
pone.0227107,0,2019-10-08,2019-12-02,55,author_revision
pone.0227113,0,2019-10-01,2019-11-23,53,author_revision
pone.0227113,1,2019-12-06,2019-12-09,3,author_revision
pone.0227115,0,2019-10-02,2019-11-14,43,author_revision
pone.0227119,0,2019-09-17,2019-11-01,45,author_revision
pone.0227119,1,2019-11-19,2019-12-07,18,author_revision
pone.0227120,0,2019-09-30,2019-10-30,30,author_revision
pone.0227126,0,2019-11-07,2019-11-11,4,author_revision
pone.0227126,1,2019-12-05,2019-12-06,1,author_revision
pone.0227128,0,2019-08-27,2019-09-30,34,author_revision
pone.0227130,0,2019-08-20,2019-10-10,51,author_revision
pone.0227130,1,2019-11-12,2019-11-20,8,author_revision
pone.0227135,0,2019-10-01,2019-10-19,18,author_revision
pone.0227138,0,2019-10-01,2019-11-23,53,author_revision
pone.0227138,1,2019-12-03,2019-12-04,1,author_revision
pone.0227141,0,2019-09-11,2019-11-15,65,author_revision
pone.0227141,1,2019-11-25,2019-12-11,16,author_revision
pone.0227145,0,2019-10-10,2019-11-20,41,author_revision
pone.0227145,1,2019-12-04,2019-12-09,5,author_revision
pone.0227153,0,2019-09-18,2019-11-26,69,author_revision
pone.0227153,1,2019-12-09,2019-12-09,0,author_revision
pone.0227154,0,2019-10-21,2019-11-26,36,author_revision
pone.0227160,0,2020-02-17,2020-02-27,10,author_revision
pone.0227160,1,2020-03-27,2020-04-03,7,author_revision
pone.0227161,0,2020-01-28,2020-05-02,95,author_revision
pone.0227161,1,2020-06-25,2020-08-24,60,author_revision
pone.0227163,0,2020-02-07,2020-04-16,69,author_revision
pone.0227163,1,2020-05-26,2020-07-17,52,author_revision
pone.0227172,0,2020-02-13,2020-02-26,13,author_revision
pone.0227176,0,2019-11-14,2019-12-03,19,author_revision
pone.0227184,0,2019-07-28,2019-09-27,61,author_revision
pone.0227184,1,2019-10-25,2019-12-09,45,author_revision
pone.0227186,0,2019-07-18,2019-11-01,106,author_revision
pone.0227189,0,2019-08-18,2019-10-23,66,author_revision
pone.0227190,0,2019-09-30,2019-11-13,44,author_revision
pone.0227196,0,2019-08-08,2019-10-14,67,author_revision
pone.0227196,1,2019-11-21,2019-12-10,19,author_revision
pone.0227203,0,2019-08-13,2019-09-22,40,author_revision
pone.0227204,0,2019-09-16,2019-11-15,60,author_revision
pone.0227209,0,2019-10-15,2019-10-23,8,author_revision
