pmid,pmc,publisher-id,doi,File,other,pii
16914446,PMC1557821,,10.1093/nar/gkl563,PMC001xxxxxx/PMC1557821.xml,,
16914439,PMC1557822,,10.1093/nar/gkl568,PMC001xxxxxx/PMC1557822.xml,,
16914445,PMC1557823,,10.1093/nar/gkl571,PMC001xxxxxx/PMC1557823.xml,,
16914438,PMC1557824,,10.1093/nar/gkl577,PMC001xxxxxx/PMC1557824.xml,,
16914437,PMC1557825,,10.1093/nar/gkl583,PMC001xxxxxx/PMC1557825.xml,,
16606669,PMC1584282,20051659,10.1084/jem.20051659,PMC001xxxxxx/PMC1584282.xml,,
14623912,PMC1592647,20031051,10.1084/jem.20031051,PMC001xxxxxx/PMC1592647.xml,,
14981095,PMC1615912,200309152,10.1083/jcb.200309152,PMC001xxxxxx/PMC1615912.xml,,
16935878,PMC1616944,,10.1093/nar/gkl528,PMC001xxxxxx/PMC1616944.xml,,
16936317,PMC1616945,,10.1093/nar/gkl504,PMC001xxxxxx/PMC1616945.xml,,
16920740,PMC1616946,,10.1093/nar/gkl531,PMC001xxxxxx/PMC1616946.xml,,
16935885,PMC1616947,,10.1093/nar/gkl450,PMC001xxxxxx/PMC1616947.xml,,
16935875,PMC1616948,,10.1093/nar/gkl540,PMC001xxxxxx/PMC1616948.xml,,
16935877,PMC1616949,,10.1093/nar/gkl538,PMC001xxxxxx/PMC1616949.xml,,
16935884,PMC1616950,,10.1093/nar/gkl451,PMC001xxxxxx/PMC1616950.xml,,
16920743,PMC1616951,,10.1093/nar/gkl499,PMC001xxxxxx/PMC1616951.xml,,
16935882,PMC1616952,,10.1093/nar/gkl460,PMC001xxxxxx/PMC1616952.xml,,
16920738,PMC1616953,,10.1093/nar/gkl574,PMC001xxxxxx/PMC1616953.xml,,
16935876,PMC1616954,,10.1093/nar/gkl550,PMC001xxxxxx/PMC1616954.xml,,
16935886,PMC1616955,,10.1093/nar/gkl410,PMC001xxxxxx/PMC1616955.xml,,
16951290,PMC1616956,,10.1093/nar/gkl592,PMC001xxxxxx/PMC1616956.xml,,
16935881,PMC1616957,,10.1093/nar/gkl500,PMC001xxxxxx/PMC1616957.xml,,
16936315,PMC1616958,,10.1093/nar/gkl557,PMC001xxxxxx/PMC1616958.xml,,
16935883,PMC1616959,,10.1093/nar/gkl452,PMC001xxxxxx/PMC1616959.xml,,
16936321,PMC1616960,,10.1093/nar/gkl435,PMC001xxxxxx/PMC1616960.xml,,
16936318,PMC1616962,,10.1093/nar/gkl468,PMC001xxxxxx/PMC1616962.xml,,
16935880,PMC1616963,,10.1093/nar/gkl501,PMC001xxxxxx/PMC1616963.xml,,
16920739,PMC1616964,,10.1093/nar/gkl567,PMC001xxxxxx/PMC1616964.xml,,
16935879,PMC1616965,,10.1093/nar/gkl508,PMC001xxxxxx/PMC1616965.xml,,
16935874,PMC1616966,,10.1093/nar/gkl561,PMC001xxxxxx/PMC1616966.xml,,
16935872,PMC1616967,,10.1093/nar/gkl481,PMC001xxxxxx/PMC1616967.xml,,
16931491,PMC1616968,,10.1093/nar/gkl446,PMC001xxxxxx/PMC1616968.xml,,
16920742,PMC1616969,,10.1093/nar/gkl521,PMC001xxxxxx/PMC1616969.xml,,
16935887,PMC1616970,,10.1093/nar/gkl398,PMC001xxxxxx/PMC1616970.xml,,
