pmid,pmc,doi,File,publisher-id,pii,other
15502868,PMC521171,10.1371/journal.pbio.0020327,PMC000xxxxxx/PMC521171.xml,,,
15502869,PMC521172,10.1371/journal.pbio.0020333,PMC000xxxxxx/PMC521172.xml,,,
15502870,PMC521173,10.1371/journal.pbio.0020336,PMC000xxxxxx/PMC521173.xml,,,
15502871,PMC521174,10.1371/journal.pbio.0020340,PMC000xxxxxx/PMC521174.xml,,,
15502872,PMC521175,10.1371/journal.pbio.0020341,PMC000xxxxxx/PMC521175.xml,,,
15502873,PMC521176,10.1371/journal.pbio.0020351,PMC000xxxxxx/PMC521176.xml,,,
15502874,PMC521177,10.1371/journal.pbio.0020362,PMC000xxxxxx/PMC521177.xml,,,
15502875,PMC521178,10.1371/journal.pbio.0020363,PMC000xxxxxx/PMC521178.xml,,,
,PMC521179,10.1371/journal.pbio.0020373,PMC000xxxxxx/PMC521179.xml,,,
,PMC521180,10.1371/journal.pbio.0020374,PMC000xxxxxx/PMC521180.xml,,,
,PMC521181,10.1371/journal.pbio.0020378,PMC000xxxxxx/PMC521181.xml,,,
,PMC521182,10.1371/journal.pbio.0020385,PMC000xxxxxx/PMC521182.xml,,,
,PMC521183,10.1371/journal.pbio.0020387,PMC000xxxxxx/PMC521183.xml,,,
,PMC521184,10.1371/journal.pbio.0020389,PMC000xxxxxx/PMC521184.xml,,,
,PMC521185,10.1371/journal.pbio.0020396,PMC000xxxxxx/PMC521185.xml,,,
15380031,PMC521193,10.1186/1465-9921-5-14,PMC000xxxxxx/PMC521193.xml,1465-9921-5-14,,
15361252,PMC521194,10.1186/1477-7525-2-48,PMC000xxxxxx/PMC521194.xml,1477-7525-2-48,,
15383144,PMC521195,10.1186/1742-4690-1-28,PMC000xxxxxx/PMC521195.xml,1742-4690-1-28,,
15341666,PMC521483,10.1186/1471-2458-4-39,PMC000xxxxxx/PMC521483.xml,1471-2458-4-39,,
15369601,PMC521484,10.1186/1471-2164-5-67,PMC000xxxxxx/PMC521484.xml,1471-2164-5-67,,
15373947,PMC521485,10.1186/1471-2105-5-132,PMC000xxxxxx/PMC521485.xml,1471-2105-5-132,,
15377392,PMC521486,10.1186/1471-2164-5-68,PMC000xxxxxx/PMC521486.xml,1471-2164-5-68,,
15377387,PMC521487,10.1186/1471-2482-4-11,PMC000xxxxxx/PMC521487.xml,1471-2482-4-11,,
15380024,PMC521488,10.1186/1471-5945-4-11,PMC000xxxxxx/PMC521488.xml,1471-5945-4-11,,
15363108,PMC521489,10.1186/1471-2407-4-64,PMC000xxxxxx/PMC521489.xml,1471-2407-4-64,,
15387889,PMC521490,10.1186/1471-2415-4-13,PMC000xxxxxx/PMC521490.xml,1471-2415-4-13,,
15453911,PMC521491,10.1186/1472-6920-4-17,PMC000xxxxxx/PMC521491.xml,1472-6920-4-17,,
15367332,PMC521492,10.1186/1472-6947-4-15,PMC000xxxxxx/PMC521492.xml,1472-6947-4-15,,
15369594,PMC521493,10.1186/1475-2891-3-15,PMC000xxxxxx/PMC521493.xml,1475-2891-3-15,,
15350204,PMC521494,10.1186/1476-4598-3-23,PMC000xxxxxx/PMC521494.xml,1476-4598-3-23,,
15383148,PMC521495,10.1186/1477-7525-2-52,PMC000xxxxxx/PMC521495.xml,1477-7525-2-52,,
15377384,PMC521496,10.1186/1477-7525-2-50,PMC000xxxxxx/PMC521496.xml,1477-7525-2-50,,
15363111,PMC521497,10.1186/1479-0556-2-13,PMC000xxxxxx/PMC521497.xml,1479-0556-2-13,,
15377385,PMC521498,10.1186/1475-9292-3-3,PMC000xxxxxx/PMC521498.xml,1475-9292-3-3,,
15450121,PMC521499,10.1186/1476-072X-3-20,PMC000xxxxxx/PMC521499.xml,1476-072X-3-20,,
15369593,PMC521500,10.1186/1476-0711-3-17,PMC000xxxxxx/PMC521500.xml,1476-0711-3-17,,
15377381,PMC521681,10.1186/1741-7007-2-21,PMC000xxxxxx/PMC521681.xml,1741-7007-2-21,,
15383155,PMC521682,10.1186/1471-213X-4-12,PMC000xxxxxx/PMC521682.xml,1471-213X-4-12,,
15385056,PMC521683,10.1186/1471-2156-5-28,PMC000xxxxxx/PMC521683.xml,1471-2156-5-28,,
15453915,PMC521684,10.1186/1471-2164-5-72,PMC000xxxxxx/PMC521684.xml,1471-2164-5-72,,
15383152,PMC521685,10.1186/1471-2172-5-22,PMC000xxxxxx/PMC521685.xml,1471-2172-5-22,,
15377389,PMC521686,10.1186/1471-2229-4-16,PMC000xxxxxx/PMC521686.xml,1471-2229-4-16,,
15387891,PMC521687,10.1186/1471-2253-4-7,PMC000xxxxxx/PMC521687.xml,1471-2253-4-7,,
15369598,PMC521688,10.1186/1471-2288-4-22,PMC000xxxxxx/PMC521688.xml,1471-2288-4-22,,
15377394,PMC521689,10.1186/1465-9921-5-13,PMC000xxxxxx/PMC521689.xml,1465-9921-5-13,,
15385057,PMC521690,10.1186/1465-9921-5-15,PMC000xxxxxx/PMC521690.xml,1465-9921-5-15,,
15450125,PMC521691,10.1186/1465-9921-5-16,PMC000xxxxxx/PMC521691.xml,1465-9921-5-16,,
15450120,PMC521692,10.1186/1477-7525-2-55,PMC000xxxxxx/PMC521692.xml,1477-7525-2-55,,
15373945,PMC521693,10.1186/1477-7525-2-49,PMC000xxxxxx/PMC521693.xml,1477-7525-2-49,,
15369591,PMC521694,10.1186/1476-7120-2-17,PMC000xxxxxx/PMC521694.xml,1476-7120-2-17,,
15453908,PMC521695,10.1186/1475-9268-3-3,PMC000xxxxxx/PMC521695.xml,1475-9268-3-3,,
15387888,PMC521696,10.1186/1476-069X-3-9,PMC000xxxxxx/PMC521696.xml,1476-069X-3-9,,
